Players,Scouting Report,Sentiment Score
malik beasley,"Efficient shooting guard who plays hard on defense… Doesn’t try to do too much… Shoots open threes, attacks closeouts and runs the floor in transition… Has tunnel vision at times offensively… Long arms can create disruption on defense.",0.3818
malik monk,"Explosive 2-guard with some serious bounce… Can throw down insane dunks… Really good transition player thanks to quickness and vertical leaping… Drastically improved after leaving Charlotte… Can get buckets quickly, either from three or finishing around the rim surprisingly… Once his confidence grew, his play brought back memories of his time in college… Has potential to get even better on offense… Defensively will always be problematic due to his undersized frame.",0.8832
marcus sasser,Undersized combo guard… Can get buckets in a flash… Pure pull-up shooting… Translates well in the NBA… Range extends far beyond the perimeter… Very unpredictable with the ball…. That makes him a tough cover… Cannot go under screens when guarding him… Has a nice floater game… Nice touch from beyond five feet… Not great at finishing around the rim… Strong for his size… Guards other smaller point guards pretty well… Can tell he puts a lot of effort in defensively… Really hustles… Dives for loose balls… Relies a lot on his shooting… May not be an issue in the NBA… Gets blocked a good amount.,0.8558
marcus smart,"Super tough competitor… Built like an NFL player, he plays his heart out every night… Among the best perimeter defenders in the NBA… OK playmaker… Can play both guard spots… Has improved as an outside shooter, but overall not a great scorer… Questionable shot selection… Knows his role… Teammates love having him around.",0.9275
mark williams,"One of the longest players in his class with a 7-foot-7 wingspan to go with his 7-footer size… Quick hips and solid hops, giving him the makings of an elite shot-blocker… Has good hands, so he can catch and finish well in the paint… High effort on the glass… Knows how to box out and secure boards… Not much of a perimter player on either end, be it as a shooter or switch defender.",0.8689
markieff morris,Big man who is not afraid to seek out his own shot… More comfortable shooting mid-range than the three… Solid pull-up jumper… Diverse post-up game… Can go over the left shoulder with a hook shot… Or take a turnaround jumper as a counter… Defends wings or other bigs at a decent level… One of those tough players every team loves to have.,0.8122
mason plumlee,Strong presence under the rim… Hard-nosed defender… Selfless teammate… Great court vision for a big man… Runs the floor well… Can finish at the rim with high efficiency… Bad free-throw shooter… Doesn’t have any kind of reliable jumper… Limited talent to create shots for himself… Managed to carve out a long career knowing his role.,0.836
matisse thybulle,"A defensive ace… You will not find defenders that gifted very often… Has the ability to stay in front of players regardless of speed… Will be in the league for a long time just from his defense… Gets a ton of steals… Offensive game is still a work in progress, but has made threes at a decent clip… Ball has no reason to be in his hands on offense… This needs to change for him to take the next step.",-0.3206
max strus,2-guard with a pretty three-point stroke… Mostly a three-point specialist… Can be a streaky shooter despite great form on jumper… Can also do some scoring in transition and off of cuts… Plays hard… Feisty defender though athletic limitations limit him on that end.,0.3195
maxi kleber,Elite combination of three-point efficency and rim protection… Selfless player… Can stretch the court with his catch-and-shoot abilities… Great timing blocking shots… Not a strong rebounder… Below-average finisher for a big man… A bit undersized… Best used in spurts.,0.6121
maxwell lewis,"6-foot-10 wingspan… Solid catch-and-shoot player… Can be automatic if left wide open… Loves the left corner… Has potential as an iso player getting to the rim… Can finish with both hands consistently… Pull-up mid-range game is there too… Super athletic… Uses as an advantage defensively… Good perimeter defender… Likes to gamble for steals, but recovers quickly… Still a bit raw… Skills are there, just needs to be more decisive… Takes too many jumpers when there are open lanes to the rim… Sometimes not focused when he’s an off-ball defender… Needs to work on making more accurate passes.",0.546
mikal bridges,"Prototypical modern 3-and-D swingman… Excellent defender with quick feet and very long arms… Racks up steals with his high defensive IQ… Also excels in transition scoring and off of off-ball cuts, along with spot-up shooting… Can hit shots off of one or two dribbles… Has potential to become more than a role player.",0.4939
mike conley,"Reliable player who can man either guard spot, either running an offense or spotting up away from the ball… Active defender who gives high effort on the less glamorous side of the floor… Uses a righty floater in the paint as a go-to move even though he’s a left-handed shooter… Reliable from three-point range… Has been a borderline All-Star for half of his career… Foot speed isn’t as fast anymore… No longer can be a starter who plays heavy minutes.",0.6003
miles bridges,One of the most athletic players in the league… Even at his wide size for a wing at 6-foot-6 and nearly 230 pounds… Can absolutely soar when he gets a lane… Raw ballhandler… High-volume three point shooter and is improving there… Took a huge leap forward last season… Career on hold due to serious accusations of domestic violence.,-0.3818
mitchell robinson,Ideal rim protector in today’s league… Can get up super fast for blocks and finishes around the rim… Improved a bit in not fouling as much… Although still has tendency to get in foul trouble… No range outside of the paint… Huge wingspan allows him to contest perimeter shots… Poor foul throw shooter… No offensive skills.,0.3182
mo bamba,"Lengthy seven-footer who racks up blocks in limited minutes… Has nice upside on offense, too, thanks to his outside shooting ability… Has shown more of an offensive game, racking up double-doubles, but still pretty raw… Has made steady progress shooting from the perimeter… Could bring his offensive game to the next level if he can consistently knock down jumpers… Always eager to get blocks, and ends up in foul trouble.",0.0702
monte morris,Undersized point guard… But very effective on the court… Great at getting to the rim… Can rack up assists with his playmaking ability… Rarely turns the ball over… Great court vision… Can push the pace in transition… Ideal backup point guard… Efficient three point shooter… Lack of size is a problem against opposing guards.,0.967
moritz wagner,"Perimeter-oriented big man… Above-average three-point shooter for a center… The numbers in the NBA don’t bear that out yet, though… Tight ballhandle… Crafty moves in the post… He’s a tough cover for opposing traditional centers… Struggles against smaller bigs in small lineups… Which is what many teams are playing nowadays… Liability on defense… Fouls too much.",-0.4588
moses brown,"Former superstar recruit center… Only spent one year at UCLA and disappointed relative to expectations… 7-foot-2 but not much of a rebounder… Needs to toughen up and focus on defense… Mobile despite size… Helps him not get totally exposed on switches… Raw offensive game but occasionally pulls out a flashy post move… Complete non-shooter, including from three and the foul line… Mostly just a catch-and-finish big right now… Must get stronger to have a shot eventually.",-0.56
moses moody,"
Do you find this scouting report inaccurate/outdated? Contact us here: hoopshype@hoopshype.com 
",0.0
mouhamed gueye,6-foot-10 with a 7-foot-3 wingspan… High motor… Has a really nice touch around the rim… Still pretty raw on both ends of the floor… Can potentially be a great pick-and-roll player… Shows he can be a pick-and-pop shooter as well… Solid mid-range shooter… Not too great a finisher… Gets blocked too often… Needs work as a post player… Sometimes has tunnel vision with the ball… Can block shots… But really should be more impactful as a rim protector with his size and athleticism.,0.7612
moussa diabate,"Big man with good size, elite length at a 7-foot-3 wingspan and plus-athleticism… Good instincts and timing as a shot-blocker… Plays with a lot of energy… Raw offensive game with a lack of a jumper… Shaky hands catching the ball… Could improve as a rebounder… Solid athletic package but needs to refine skills.",0.3716
myles turner,Elite rim protector… Long wingspan and enough bounce to be a terrific shot blocker… Always brings energy on the court… Can finish at the rim… Solid three-point shooter for a center… Sometimes too inconsistent… Hasn’t reached his full potential as a player… Has trouble staying healthy.,0.7351
naji marshall,"Great size and length on the wing… Can handle the ball… Versatile in that he can do some scoring, rebounding and passing… Solid final season at Xavier… Put up a 16.8/6.3/4.0 stat line… Shot five threes per game but made under 29 percent of them… Mediocre free throw shooter, too, so jumper is going to need some serious work… Versatile defender who can stick multiple positions… Could be jack of all trades but master of none.",0.8151
naz reid,"Big man with a solid skill-level but who lacks athleticism… Good ball-handler for a big man… Can score off the dribble… Finishes with either hand around the rim… Set-foot outside shooter, but he can knock down threes when he’s open… Good passer, even when on the move… Likes hitting backdoor cutters… A threat using fake dribble hand-offs… Sometimes struggles to finish down low due to lack of explosiveness.",-0.1531
nick richards,"Elite shot-blocker in college, where he swatted away two shots per game in his junior season at Kentucky… Defensively oriented game… High-energy big man who likes to run in transition and make splash plays… Improved scorer, but still very raw on that end… No range on jump shot whatsoever… Poor decision-maker with the ball in his hands… Solid athlete.",-0.5267
nickeil alexander-walker,Excellent form and balance on three-point shot… High-volume perimeter shooter… Needs to work on efficiency from deep… Willing to attack close-outs… Able to finish near the rim too… Long arms play a part in that… Long wingspan has given him an advantage to disrupt passing lanes… Needs to become more consistent… Still young.,0.7579
nicolas batum,"Once a do-it-all athletic swingman who could play tough defense and create for himself and others… The athleticism is gone, but the high basketball IQ remains… Glue guy who can still play a sizeable role in the rotation, though maybe not as a starter… Adept three-point shooter with his feet set… Can defend multiple positions, though not at the level he once did.",0.6542
nikola jokic,The closest thing to a point center… Arguably the best passing big man ever… May also be the best passer in the league now… His court vision is off the charts… Outstanding basketball IQ… Has gotten very comfortable as a go-to scorer… Versatile finisher in the paint… Great floater… Can stretch the court… Not a gifted athlete… His lack of explosiveness hurts his defense… Improved his conditioning and won MVPs back-to-back.,0.9735
nikola jovic,"Supersized wing at 6-foot-10 who grew up as a guard, so he still has guard skills in a big’s body… Pretty jumper from the outside, though the shooting numbers haven’t been great… Can handle the rock… Limited athletically so he’s not a great finisher in the paint… Smart passer… Can play pick-and-roll as ballhandler and screen-setter… Defense must improve.",0.7385
nikola vucevic,"Fills up the stat sheet on a nightly basis… Puts up nice numbers as a scorer and rebounder… Not an elite rim-protector due to athletic limitations… Has a nasty face-up game as well as post-game, and isn’t afraid to shoot the three-ball… Solid passing skills for a center… Can get exposed in the pick-and-roll on defense.",-0.0772
norman powell,"Quick player always in attack mode… Excellent driving to the rim… Brings consistent energy in every role… Can defend athletic players… Reliable three-point shooter, especially with his feet set… Can be inconsistent at times on both ends of the floor… He’s undersized for his position… Ideal bucket-getter off the bench.",0.7269
og anunoby,"Versatile two-way player… Can do a little bit of everything… Always active on defense… Has a knack for intercepting stray passes… Aggressive attacking the rim… No non-sense attitude on the court… Has evolved into a real threat on offense… Ability to hit threes and also take it to the rim with authority… Not necessary a No 2 option, but can definitely a legitimate No 3 option for a contender.",-0.1779
obi toppin,"One of the most athletic frontcourt players to reach the NBA in a while… Uses those gifts extremely well offensively… An explosive finisher around the bucket, including out of the pick-and-roll… A terror in transition… Can knock down three-pointers, too, so his offensive game is well-rounded… Average defender who doesn’t block as many shots as he should with his athleticism… Not much of a rebounder, either.",-0.7708
ochai agbaji,"A high-floor player thanks to defensive effort and impact… Good size on the wing with plus-length and -athleticism… Tough-nosed player who makes winning plays… Much-improved as a shooter, though still streaky… Can score as a slasher and off-ball cuts… Good role player potential though won’t be someone who can be asked to score a lot on a consistent basis.",0.9042
olivier-maxence prosper,Lockdown defender potential… Great defensive instincts… Can see plays develop before they start happening… Capable of defending 1 to 5… Has potential to guard opponents best wing on most nights… Likes to run in transition as a big… Loves to cut backdoor to the rim… Inconsistent shooter… Needs to work on having a singular shooting motion… Potential to be consistent as a spot up corner shooter… Slow first step while attacking closeouts… Not effective as a ball handling.,0.9263
onyeka okongwu,"Big man well-suited for the modern game thanks to well-rounded skill set… High-energy player on both ends of the floor… Projects as an elite shot-blocker thanks to timing, length and athleticism… Not just a great defender in the paint, either… He can switch onto guards effectively thanks to quick feet… Finishes everything in the paint… Surprisingly apt ballhandler for a big man… Struggles with his jump shot, but jumper isn’t totally broken.",-0.3037
orlando robinson,Undersized at center but a tidy finisher near the paint and can block some shots… Not overly skilled from the outside… Fights on the glass… Makes an impact defensively thanks to great timing and instincts as a shot-blocker.,0.296
oshae brissett,Long-armed wing with great athleticism… Capable of finishing over the rim and over defenders… Dunked on Tacko Fall in a G League game… Versatile… Can handle the rock some and run pick-and-rolls as the screener… Good off-ball cutter… Poor outside shooter… Thin frame… Needs to bulk up… Straight-line driver… Not the most advanced ball-handler.,0.675
ousmane dieng,"A lot of potential thanks to elite size for a wing at at 6-foot-10 with a smooth game… But his game is still quite raw and will take time to develop… Can hit jumpers off the dribble… Smooth dribbler of the ball with a tight ball-handle… Can distribute the basketball too… Very poor shooter as of now… Needs to toughen up, as he will go out of his way to avoid contact on defense and around the rim.",-0.6746
paolo banchero,"A wing in a big man’s body… Great size for his position… Fantastic feel for the game on offense, as he can score in a multitude of ways and is an underrated passer… Not a dynamic defender yet but has the potential to get there eventually… Inconsistent jumper but he isn’t afraid to shoot it",-0.1255
pascal siakam,His agility and speed are formidable for his size… A lethal threat running the court… His spin moves attacking the rim are a thing of beauty… Tireless defender even on the perimeter… Already tested in clutch moments… His three-point shot is still a work in progress… Inconsistent at times.,-0.7184
pat connaughton,"Athletic wing who can throw down the occasional monster slam… Has a nice three point stroke… Player that knows his role… Attacks mostly as a spot-up shooter, in transition or cutting off ball… His switch to forward last year saw his efficiency rise especially perimeter shot… Definitely a team player… Tenacious defender who uses athleticism well on that end… Can’t keep up with quicker guards but puts up good resistance.",0.7924
patrick williams,"Wing who is in the Kawhi Leonard mold… Huge hands, long arms, thick legs, all of which he uses very well on the defensive end… Very good jumping passing lane, picking ball-handlers pockets and protecting the paint… Better offensively already than many expected… Can throw down dunks and knock down pull-up midrange jumpers… Very good three-point shooter with his feet set… Huge upside player.",0.8905
paul george,"Versatile swingman… One of the best perimeter defenders in the league… Has an instinct for pickpocketing opponents… Reliable jump shot from all three levels… Can knock them down off the dribble over tight defense, too… Star shot-maker… Fearless in clutch time… Better finishing than involving his teammates… Injuries have slowed him down lately… Shot can be streaky and may become unreliable in playoffs.",0.8957
payton pritchard,"Plays with sky-high confidence… Solid floor general in his ability to run an offense, but will also make flashy plays to set up teammates… Very quick burst, which helps him blow by defenders… Lightning quick release on jumper with dependable form… On the smaller side and not an elite athlete vertically… That’ll hurt him when attacking the paint.",-0.4118
peyton watson,"Prototypical size for a wing… Off-ball player who does damage as a slasher… Got very limited playing time in college due to being on a loaded UCLA team… Known for his defense and effort… Struggles a shooter… Good length and agile, giving him great potential as a defender.",0.6689
precious achiuwa,"High-energy big man with some ball-handling ability… An absolute nuisance on the offensive glass… Great size, length and a plus-athlete… Uses quickness effectively against slower-footed foes… Willing and able to knock down midrange jump shots… Not as good cleaning up rebounds defensively, where his slight frame gets pushed around easily… Versatile defender who doesn’t mind going up against ball-handlers as well as bigs… Likely won’t ever be a major scorer.",0.5414
rj barrett,"Has shown potential to be a high-quality player in league… Floor is at least a No 4 option at worse… Shot is still a work in progress, but improvement is shown… Has no problem getting to the rim… Not that good finishing, though… Can get tunnel vision at times with the ball.",-0.3937
reggie jackson,"Confident player, but almost to a fault… Never afraid of any shot, no matter the situation… Score-first point guard… Has become a lot smarter with the ball in the last couple of seasons… Very nice floater game… Just an OK defender on most nights… Able to run an offense adeptly… Would improve if he were slightly more unselfish.",0.9376
richaun holmes,"Explosive, bouncy athlete at center… Uses physical gifts well on defense, picking up steals and blocks… Quite productive out of the pick-and-roll… Great timing and finishing on those play types… Has a floater that is automatic within 10 feet… Also does a ton of damage as a cutter and on offensive rebounds… Effective starting center.",0.4019
robert williams,"Has evolved from an athletic big who can block shots to a legitimate DPOY candidate for years to come… Insane wingspan makes him a serious above-the-rim finisher… Can get up for blocked shots quickly… Fouls too much but has improved drastically here… Rebounding has improved tremendously… Often injured… Goes all out for hustle players, sometimes gets him hurt physically.",0.0516
royce oneale,Disruptive wing on defense… Really smart defensively… Usually matched up with the best offensive opponents… And holds his own… Improved a lot from bad perimeter shooter to respectful… Does not give anything offensively… Knows his role.,0.3597
rudy gobert,The best rim protector in the NBA… A physically gifted player who can dominate the paint… Changes opponents’ offenses with his mere presence… Elite finisher in the restricted zone… Strong screener to create space for his teammates… Determined enforcer to protect his teammates… Unreliable jumper… Not a threat at all outside the paint… May be benched at times of the game due to matchups… Has been exposed a bit in the playoffs.,0.8879
rui hachimura,Power forward with more of a throwback game… Likes to operate out of the mid-range… Face-up opportunities galore… Does step out and shoot spot-up threes… Doesn’t knock them down at even an average rate yet… Nimble and athletic enough to do well in transition… Poor wingspan and size for position make him a bit of a non-factor on defense… Defense has gotten worse over the years… Doesn’t give too much effort defensively.,-0.296
russell westbrook,Once a superior athlete… Very quick and explosive… Great first step… Got to the basket like very few others… A lot of competitive fire… A fast break waiting to happen… Can be a good defender when he’s into it… Pretty good with the stop-and-pop mid-range jumper… Does not always make good decisions… Bad three-point shooter… Turnover prone… Has lost a step… Is he willing to change his game?,0.9538
ryan rollins,"
Do you find this scouting report inaccurate/outdated? Contact us here: hoopshype@hoopshype.com 
",0.0
sam hauser,"Role-playing type who can play some 3 or 4… Excellent shooting stroke… Struggles to create his own shot but can finish plays when he’s set up… Lack of quickness hurts him on both ends… Can score off the dribble, particularly against hard closeouts.",-0.5814
sam merrill,"Shooting range goes out to halfcourt… Despite shooting over 650 threes over his last three years of college, many of the difficult variety, he hit almost 42 percent of them… Can score off the dribble too… Solid burst off the bounce… WIlling to get dirty and set screens… Not many 20-point-per-game players doing that… Very effective coming off screens… Limited athletically and not much of a defender, but tries hard on that end.",-0.3403
scoot henderson,Fearless against anyone… Speed is unmatched… Athleticism is similiar to Ja Morant/Russell Westbrook… Can create his own shot whenever he wants… Solid defender and willing to hustle… Would be consensus No 1 pick if not for Victor Wembanyama.,0.5859
scottie barnes,"
Do you find this scouting report inaccurate/outdated? Contact us here: hoopshype@hoopshype.com 
",0.0
seth curry,"Elite shooting ability… Runs in the family… Not on same level as brother, but can still be effective… Simply lethal in catch-and-shoot situations… Can shoot from really deep… Decent agility to attack the rim… Smart player all around… Not a great passer… Not much of a defender… Most teams would love to have a shooter like him.",0.3192
shaedon sharpe,"A prototypical wing with excellent size, length and athleticism for his position… Smooth bucket-getter who can score in a multitude of ways, off the dribble and with a variety of moves… High-level defender potential thanks to length and explosiveness and off-ball instincts… Willing to do the dirt work, too.. Will need to work on feel for the game after missing a season of action.",0.5267
shai gilgeous-alexander,Versatile combo guard that can score against anyone… Length gives him an advantage against other wings… Solid body control to attack the rim… Can get to the hoop at will… Scores a massive amount of points in the paint… Excellent from the mid-range… Can play on and off the ball… Good defender on the perimeter… Good timing to rebound and block… Has emerged as a star… Has the ability to hit the big shot… Doesn’t take many threes.,0.9201
shake milton,Like his name can shake his way to the rim… Long arms to finish around the hoop… Scorer by all means… Not much of a playmaker for teammates… Can get hot and score in bunches… Undersized frame leaves him somewhat of a liability on defense.,0.197
spencer dinwiddie,Plays with a chip on his shoulder… Nice playmaker… Can find a way to the rim against almost any defense… Finds open shooters… Tough to defend when he gets hot… Plays hard every minute he’s on the court… Good crunch-time performer… Not afraid of the big moment… Three-point shot is shaky at times but has improved lately… Doesn’t make much of an impact on the defensive end.,0.8047
stephen curry,So much skill… The best shooter of all time… Can hit it from anywhere on the floor… Great vision of the court and ballhandling skills to match… Great with the dribble in traffic… High basketball IQ… Has really developed his point guard skills… Ability to play on and off the ball makes him unstoppable… Has improved his defense over the years… Turnover prone… Average athlete… A superstar… Has changed the way the game is played.,0.9753
steven adams,"Super strong… Maybe the toughest player to move around in the league… Sets awesome screens to create space for ballhandlers and shooters… Good rebounder… Great finishing alley-oops… Lacks a reliable jumper… One of the worst free-throw shooters in the league… Has become a better passer all of a sudden… Great locker room guy, teammates love having him around.",0.9747
taj gibson,"Big man with a lot of experience who likes to do the dirty work… Sets strong screens… Will dive for a loose ball… Capable of hitting jumpers out of the midrange… Has some craft in the paint… Soft touch near the rim… Doesn’t mind banging down low, even against bigger players… Solid athleticism despite getting up there in age… Highly respected in NBA circles… There’s a reason he is still in the NBA.",0.7501
talen horton-tucker,Skilled player with a great feel for the game… Good athleticism to attack the rim… Ahead of the curve in basketball IQ… Long arms to be a solid ball stealer… Good timing for rebounding and blocking shots… Lacks a reliable three-point shot… His passing skills are not yet polished,0.7003
tari eason,Freak wing athlete who is willing to do the dirty work and not just throw down the highlight dunk… Gets after it on defense thanks to length and quick feet as well as urgency on that end of the floor… Thrives as a scorer in transition… Getting better as a shooter but still needs work refining his shot… Average ball-handler and playmaker.,0.3612
taurean prince,"Wing who puts up respectable numbers for a role player… But does so very inefficiently… Average at best three-point shooter… Not all for a lack of effort… Could possibly be a very effective and efficient player in the right environment… Decent at attacking close-outs and finishing around the basket… Solid defender who can cover multiple positions… Sturdy, so he doesn’t get pushed around… Intense player.",0.9573
taylor hendricks,"6-foot-9 and not much of a center but can guard 1 to 5 even on the perimeter… Elite shot blocker… Regardless if they’re around the rim or closeouts… Ideal defender as a small ball five in NBA… Great finisher with his athleticism… Likes to run in transitions for lobs… Clean consistent shooting mechanics that can hit threes, especially from corner… Impact pick-and-pop shooter… Doesn’t like to finish with his left hand… Finishing touch is subpar especially for his size… Inconsistent as a pull-up shooter.",0.9731
terance mann,Playmaking guard with great size… Advanced feel for distributing… Winning player from his college days… Gets after it defensively… Can cover multiple positions… Excellent finisher in the paint… Needs to improve outside shot… Slow release on three-pointer… Not much of a scorer outside the paint.,0.9442
terry rozier,Solid point-producer who can make high degree of difficulty shots… Can run an offense… Decent defender when motivated… Able to finish around the trees in the paint… Decent explosion.,-0.1027
thomas bryant,Great hands and feel for scoring in the paint… His length and instincts help him there… Used to hold onto the ball too much… But even his passing has gotten better… Some upside… Especially if he can keep hitting threes with a broader sample size… Ineffective defensive player… Doesn’t protect the rim like a player with his size and length should.,0.8573
tim hardaway jr.,Natural born three-point shooter… Can take over a game when he’s hot… Has improved his shot selection… Great ability to get himself open in catch-and-shoot situations… Good explosiveness to attack the rim if necessary… Often has tunnel vision with the ball in his hands… Below-average perimeter defender… Best suited as a role player who can catch and shoot.,0.9393
tobias harris,"Above-average scorer who can get buckets from all three levels… Outside shooting efficiency has improved drastically last couple of seasons… Causes matchup problems because he’s too quick for most power forwards and has the post-up game to take advantage of smaller defenders… Just a so-so defensive player, though he can defend multiple positions… Tendency to be invisible in games when he is not actively in offensive sets.",0.6724
torrey craig,Top-notch defender that many teams could use… Often asked to guard best offensive players of opponents… Knows his role and does not try to do too much… Solid catch-and-shoot skills from deep… Excels in transition… Great instincts on both ends of the floor… Slashes to the rim when he sees an opening… Ballhandling skills shaky.,0.8442
toumani camara,Built for the modern day power forward position… Capable of doing a bit of everything… Rebounding… Stretching the floor… Blocking shots… High motor… Still a bit too raw… Doesn’t do anything great… Not much of a ball handler… More of a finisher… Struggles defending against more athletic players… Inconsistent jump shooter.,-0.4144
trae young,One of the best offensive players in the game… Super creative and skilled… Can shoot from anywhere on the court… Smart at drawing fouls… Fearless attitude driving to the rim… Great court vision with accurate passing skills… Inconsistent shooter on occasion… Can sometimes leave teammates disengaged with his shot taking… Physically undersized in the NBA… He’s a liability defensively… Doesn’t move around enough without the ball on offense.,0.936
trayce jackson-davis,7-foot-2 wingspan with above-the-rim finishes… Great athlete especially in transition… Knows how to play the pick-and-roll game with ease… Solid rim protector especially as a weak side help defender… Lives for flashy blocks… Capable of switching on bigger wings and causing havoc… Could potentially guard 2 to 5… Solid passer for a big especially in transition… Good passer off the post… Loves to finish with his left hand… Too predictable… Needs to work on diversifying with his right side… Subpar shooter on all levels… Not confident in his shot… Plays a bit undersized guarding the post.,0.9438
tre jones,"Floor general in every sense of the term… Doesn’t take risks, which can be a detriment, but overall safe with the ball in his hands… Won’t turn it over much, but makes smart passes and gets the offense going, even if he’s not the one racking up statistics… Good one-on-one defender… Average athlete who struggles finishing over length in the paint… Streaky outside shooter.",0.714
trevelin queen,"
Do you find this scouting report inaccurate/outdated? Contact us here: hoopshype@hoopshype.com 
",0.0
trey lyles,"Smooth power forward with some wing prowess to his game… Can handle the rock a bit and shoot threes at the 4-spot… Not very athletic or strong, so he doesn’t do much of anything on defense… Easy to move around as well, so his rebounding is poor for his position… Can do a lot of different things, but does not excel at any of them.",-0.2933
ty jerome,"Combo guard with good playmaking chops and an elite three-point stroke… Large role in OKC has showed what he can and can’t bring to the table… Struggles beating more athletic opponents off the dribble… Defensively, lacks the lateral quickness to stay in front… Good nose for picking pockets and jumping passing lanes… Has a pretty underrated basketball IQ on the floor on both sides of the floor.",0.4404
tyler herro,"Supreme confidence is one of his strongest traits… Has already hit numerous huge clutch shots… Will take a shot from anywhere… Once he gets going, he can catch absolute fire… Has the makings of an elite outside shooter… Not just a spot-up shooter… Can shoot off the dribble… Solid floater in the paint too… Defensive effort isn’t bad, but instincts and length on that end are.",0.5346
tyrese haliburton,"Floor general with great size for the position at 6-foot-8 and outstanding vision as a playmaker… Despite awkward shooting form, he can knock down threes, and not just from the corners but from deep, too… Likes to push the ball and rarely gets flustered when running the offense… Despite not being an elite athlete, he knows how to use quicks and change-of-direction to get to his spots… Super high IQ on both ends… Lack of high-end athleticism limits his upside a bit.",0.9323
tyrese martin,3-and-D role player with just decent athleticism… Improved three-point shooter… Gives good effort defensively… Can shoot either with feet set or off the dribble… Not much of a ball-handler… Struggles to get by defenders and score near the rim… Good mobility on both ends thanks to quick feet.,0.802
tyrese maxey,Prototypical combo guard in that he does a bit of everything despite having the size of a point guard… Supremely confident bucket-getter with three-level scoring prowess… Agile and crafty with the ball in his hands… Thrives as a pick-and-roll scorer… High-energy player on offense and defense… Makes winning plays… Takes bad shots at times… Not a freak athlete vertically but extremely quick.,0.5578
tyus jones,"Rock-solid lead guard who is very trustworthy… Rarely turns the ball over… Under 1.0 turnovers per game for career… Nevertheless, he’s still a good creator… Does well out of the pick-and-roll… Considered to be one of the best backup point guards… Streaky outside shooter… Small in stature and doesn’t have elite athleticism… That hurts him as a finisher near the rim… Tries defensively, but he can only do so much there with physical limitations… Great locker room guy.",0.8555
vasilije micic,Very experienced point guard… Already won at the high levels in Euroleague… Fantastic shooter especially off screens… Can score off the dribble on all three levels… Pretty crafty getting to the rim and finishing… Great court vision… Makes the best reads to teammates… Very flashy passer… Not too great a defender… Could be problematic against more athletic wings in the NBA… Sometimes loses focus as an off-ball defender.,0.9137
victor wembanyama,Once-in-a-lifetime prospect… Hasn’t been a player as hyped since LeBron James back in 2003… Can do it all… Handle the ball… Shoot from anywhere within 35 feet… Unblockable jump shot with his height… Outstanding wingspan… Super fluid athlete.. Advanced skills for his age… The real question is staying healthy… Chance to become a transcendent star.,0.9062
vit krejci,"Good size, length and decent athleticism for a modern wing… Inconsistent three-point shooter and free-throw numbers haven’t been good either, which is troubling… Smart passer, but too unselfish… Too comfortable falling into the background… Doesn’t make enough impact plays on defense despite physical gifts.",0.8898
walker kessler,"Shot-blocking specimen with great instincts as a rim-protector… Fantastic size and length help him make his huge defensive impact… Wiry, so he might need to get stronger so he doesn’t get pushed around on the glass… Solid shooting stroke, but the numbers don’t reflect that yet… Drop defender against pick-and-roll… Has trouble when asked to switch… Good finisher down low, though not a great one due to just-decent athleticism.",0.8945
zach collins,High-energy big man who is a team-first player… Plays with a lot of passion… Cares about winning… Poor wingspan for a big man… Really hurts him on the glass and as a rim defender… Also makes him an average finisher in the paint… Quick feet so he doesn’t get destroyed on switches at least… Improving as a threat from the outside… Cannot stay healthy.,-0.8201
zach lavine,"High-quality offensive player… A threat both in half-court sets and in transition… Crazy athletic… Can create his own shot, but also catch-and-shoot with above-average percentages… Has improved as a defender, albeit from a very low point.",-0.1753
zeke nnaji,"Athletic, mobile big man standing nearly 7-feet tall… Explosive finisher around the cup… Solid jump-shooter, but for now, only fron the midrange… Lacks three-point range for now… High-effort on the offensive glass… Needs to get more unselfish… When he gets the ball, he almost always looks to put it up… Should be a better rim-protector based on physical tools.",0.0387
zion williamson,"A force of nature… Unfair combination of brute strength, athleticism and skill… Already is a playmaker… Can jump out of the gym and run the floor with the best of them… Must develop his perimeter game, but a devastating force already as is… NBA legend potential… It’s not hard to picture him as the most dominant player in the NBA in a few years… His weight will define his career… Injuries this early in career are concerning.",-0.5935
